[2026-04-07 07:33:39] INFO     Scanning http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit | Parameters: ['id', 'Submit']
[2026-04-07 07:33:43] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:43] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:48] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:48] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:52] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:52] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:57] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+OR+%271%27%3D%271&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:33:57] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+OR+%271%27%3D%271 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:01] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+OR+%271%27%3D%271%27+--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:01] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+OR+%271%27%3D%271%27+-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:06] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+OR+%271%27%3D%271%27+%2F%2A&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:06] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+OR+%271%27%3D%271%27+%2F%2A (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:11] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%22+OR+%221%22%3D%221&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:11] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%22+OR+%221%22%3D%221 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
